id,code,name,flag
108,KV,Kosovo,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/KV-flag.gif
109,KU,Kuwait,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/KU-flag.gif
110,KG,Kyrgyzstan,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/KG-flag.gif
111,LA,Laos,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LA-flag.gif
112,LG,Latvia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LG-flag.gif
113,LE,Lebanon,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LE-flag.gif
114,LT,Lesotho,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LT-flag.gif
115,LI,Liberia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LI-flag.gif
116,LY,Libya,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LY-flag.gif
117,LS,Liechtenstein,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LS-flag.gif
118,LH,Lithuania,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LH-flag.gif
119,LU,Luxembourg,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LU-flag.gif
120,MC,Macau,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MC-flag.gif
121,MK,Macedonia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MK-flag.gif
122,MA,Madagascar,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MA-flag.gif
123,MI,Malawi,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MI-flag.gif
124,MY,Malaysia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MY-flag.gif
125,MV,Maldives,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MV-flag.gif
126,ML,Mali,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/ML-flag.gif
127,MT,Malta,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MT-flag.gif
128,RM,Marshall Islands,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/RM-flag.gif
129,MR,Mauritania,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MR-flag.gif
130,MP,Mauritius,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MP-flag.gif
131,MX,Mexico,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MX-flag.gif
132,MD,Moldova,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MD-flag.gif
133,MG,Mongolia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MG-flag.gif
134,MJ,Montenegro,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MJ-flag.gif
135,MH,Montserrat,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MH-flag.gif
136,MO,Morocco,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MO-flag.gif
137,MZ,Mozambique,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MZ-flag.gif
138,WA,Namibia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/WA-flag.gif
139,NR,Nauru,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/NR-flag.gif
140,NP,Nepal,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/NP-flag.gif
141,NL,Netherlands,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/NL-flag.gif
142,NC,New Caledonia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/NC-flag.gif
143,NZ,New Zealand,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/NZ-flag.gif
144,NU,Nicaragua,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/NU-flag.gif
145,NG,Niger,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/NG-flag.gif
146,NI,Nigeria,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/NI-flag.gif
147,NE,Niue,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/NE-flag.gif
148,KN,North Korea,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/KN-flag.gif
149,NO,Norway,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/NO-flag.gif
150,MU,Oman,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MU-flag.gif
151,PK,Pakistan,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/PK-flag.gif
152,PM,Panama,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/PM-flag.gif
153,PP,Papua New Guinea,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/PP-flag.gif
154,PA,Paraguay,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/PA-flag.gif
155,PE,Peru,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/PE-flag.gif
156,RP,Philippines,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/RP-flag.gif
157,PL,Poland,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/PL-flag.gif
158,PO,Portugal,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/PO-flag.gif
159,RQ,Puerto Rico,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/RQ-flag.gif
160,QA,Qatar,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/QA-flag.gif
161,CF,Republic of the Congo,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CF-flag.gif
162,RO,Romania,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/RO-flag.gif
163,RS,Russia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/RS-flag.gif
164,RW,Rwanda,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/RW-flag.gif
